Trace Path1
X(mm), Y(mm), Z(mm)
-5.90268150889367, 45.1761832748739, -5.00000000000017
10.4744671181443, 39.1093818514284, -5.00000000000017
36.2800681414032, 41.04673296146, -5.00000000000017
49.0389681062277, 47.9078912330135, -5.00000000000017
50.6865331911427, 50.713301770593, -5.00000000000017
47.6657101056274, 50.9371521122815, -5.00000000000017
42.6899201042239, 50.5022528066036, -5.00000000000017
36.8723909297671, 50.1676604106923, -5.00000000000017
30.8657052646289, 50.0522636674933, -5.00000000000017
24.8941748515633, 50.0169801122169, -5.00000000000017
18.9900931230637, 49.9215954308707, -5.00000000000017
13.0957150078144, 49.745950905575, -5.00000000000017
7.19399714836877, 49.5766605388885, -5.00000000000017
1.48224761473434, 49.5057341815678, -5.00000000000017
-3.59143008710075, 49.4958346161374, -5.00000000000017
-7.39193686902285, 49.2585617445315, -5.00000000000017
-8.84038971995345, 48.1477594079181, -5.00000000000017
-6.10247775650672, 45.3109955362048, -5.00000000000017
3.67808058172035, 40.7681570015792, -5.00000000000017
21.462117438117, 38.361553545908, -5.00000000000017
38.7696944767645, 41.9658828338956, -5.00000000000017
47.842624538021, 46.9397153045108, -5.00000000000017
50.7350083967958, 49.8226122863828, -5.00000000000017
50.368516090065, 50.874436352647, -5.00000000000017
48.2695035349748, 50.9767283151992, -5.00000000000017
45.2446583616593, 50.7250774117205, -5.00000000000017
41.7084385209527, 50.4273380900317, -5.00000000000017
37.9886278658964, 50.2117083658754, -5.00000000000017
34.1974825510312, 50.0950386619652, -5.00000000000017
30.4653246306489, 50.049374415745, -5.00000000000017
26.8174948746072, 50.0300656481293, -5.00000000000017
23.2872203710147, 50.0004275228153, -5.00000000000017
19.845505388465, 49.9414652254069, -5.00000000000017
16.413967850146, 49.8510976340485, -5.00000000000017
13.0885382307386, 49.7457181743168, -5.00000000000017
9.8559736790609, 49.6450818561646, -5.00000000000017
6.70464458316787, 49.5662479677609, -5.00000000000017
3.63014809684048, 49.5193342803485, -5.00000000000017
0.829010598802828, 49.5042575908852, -5.00000000000017
-1.75944206449234, 49.5039831075174, -5.00000000000017
-4.00015455595095, 49.4905338477679, -5.00000000000017
-5.91489794727617, 49.4241352248634, -5.00000000000017
-7.41563931669065, 49.2541000136122, -5.00000000000017
-8.40111013071977, 48.9337275907661, -5.00000000000017
-8.8390307938854, 48.3895307150309, -5.00000000000017
-8.64427863711045, 47.6389046851942, -5.00000000000017
-7.79139777919955, 46.6353789797581, -5.00000000000017
-6.25973374282521, 45.4194707986575, -5.00000000000017
-3.96959214344306, 44.0065416399108, -5.00000000000017
-0.891393662710672, 42.4892536606356, -5.00000000000017
2.95857316015456, 41.0036365473186, -5.00000000000017
7.19081380911522, 39.7881540051664, -5.00000000000017
11.5548698900461, 38.9334922529417, -5.00000000000017
15.8822578138475, 38.4555640114448, -5.00000000000017
20.26196730697, 38.3325181187906, -5.00000000000017
24.0044964029337, 38.512666029702, -5.00000000000017
27.3236698787289, 38.8957640331291, -5.00000000000017
30.3027267261877, 39.4240529059933, -5.00000000000017
32.6699736071304, 39.9735593315051, -5.00000000000017
34.5452281254182, 40.4943128469837, -5.00000000000017
35.926321192196, 40.9284059134751, -5.00000000000017
36.7575333400651, 41.2111701743477, -5.00000000000017
37.3268829523235, 41.4144651204868, -5.00000000000017
37.4911547787423, 41.4746005900109, -5.00000000000017
37.3890835098898, 41.4371564983179, -5.00000000000017
36.8141781999883, 41.2310424065925, -5.00000000000017
35.940879631967, 40.9332173710815, -5.00000000000017
34.592466332654, 40.5084394954767, -5.00000000000017
32.8911077801858, 40.0309624201479, -5.00000000000017
30.6963850422293, 39.5073128762618, -5.00000000000017
28.2794947088413, 39.0459142235061, -5.00000000000017
24.9452394727547, 38.5996853841284, -5.00000000000017
21.2303860529991, 38.3538412111181, -5.00000000000017
17.0968977478101, 38.3853786962928, -5.00000000000017
12.6222385784853, 38.7821727432525, -5.00000000000017
8.07228276404698, 39.5841963972215, -5.00000000000017
3.795769704966, 40.7308094304176, -5.00000000000017
0.0564963798079347, 42.0857139960109, -5.00000000000017
-3.18681981617217, 43.5867862058273, -5.00000000000017
-5.74369060196814, 45.0711440021083, -5.00000000000017
-7.52013896253336, 46.390748365096, -5.00000000000017
-8.52904691557453, 47.4593470250344, -5.00000000000017
-8.84939971993053, 48.2586404301594, -5.00000000000017
-8.56086026769006, 48.8262844834947, -5.00000000000017
-7.68152710832616, 49.1972619697211, -5.00000000000017
-6.28112747480362, 49.3977463713892, -5.00000000000017
-4.43258553200383, 49.4825333417293, -5.00000000000017
-2.21326383174201, 49.5034677497346, -5.00000000000017
0.360674450384877, 49.5037741541779, -5.00000000000017
3.16662199173571, 49.5151277831472, -5.00000000000017
6.12979612556652, 49.5550029474789, -5.00000000000017
9.282013816535, 49.6288516466171, -5.00000000000017
12.5600214716825, 49.7286198395624, -5.00000000000017
15.9381777662755, 49.8366774080599, -5.00000000000017
19.3770381803404, 49.9308284007651, -5.00000000000017
22.8998833542675, 49.9954675219511, -5.00000000000017
26.448131208596, 50.0279676802232, -5.00000000000017
30.1222035655014, 50.0471347651266, -5.00000000000017
33.9152236808439, 50.0896999258578, -5.00000000000017
37.7672734257255, 50.2022600220907, -5.00000000000017
41.5789257998299, 50.4179944807264, -5.00000000000017
45.1337295464732, 50.7148606689658, -5.00000000000017
48.2096858489915, 50.9733345325895, -5.00000000000017
50.3471751954493, 50.8811325527174, -5.00000000000017
50.7417844831537, 49.8362609420941, -5.00000000000017
47.8191200200291, 46.9219738981006, -5.00000000000017
